,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
226,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
227,false-positive,info,,'c' is already defined.,,JSHint,JH--W004,Function already defined,False,0.04323098,0
228,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
229,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
230,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
231,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
232,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
233,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
234,false-positive,info,561.0,Unused variable 'i',,Pylint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,False,0.17657518,0
235,false-positive,info,561.0,Unused variable 'i',,Pylint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,False,0.17657518,0
236,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
237,false-positive,info,,"Unnecessary ""else"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.06710008,0
238,false-positive,info,561.0,Unused variable 'i',,Pylint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,False,0.17657518,0
239,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
240,false-positive,info,561.0,Unused variable 'i',,Pylint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,False,0.17657518,0
241,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
242,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
243,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
244,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
245,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
246,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
247,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
248,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
249,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
250,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
251,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
252,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
253,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
254,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
255,false-positive,info,99.0,Redefining built-in 'str',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.059327275,0
256,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
257,false-positive,info,99.0,Redefining built-in 'bytes',,Pylint,rule-410f759ae99f23256b6e08025a5f69a2e75c5191f98138371e845c83379bd593,Resource Injection,False,0.09734392,0
258,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
259,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
260,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
261,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
262,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
263,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
264,escalated,info,398.0,,,,PYLINT-W0611,Unused import,escalated,0.95882547,1
265,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
266,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
267,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
268,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
269,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
270,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
271,escalated,info,398.0,Trailing whitespace,,Pylint,PYLINT-C0303,Trailing whitespace,escalated,0.9785145,1
272,false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,PYLINT-R1705,Unnecessary else after return,False,0.037561953,0
273,escalated,low,561.0,'d' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98036957,1
274,escalated,low,561.0,'_0' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9800656,1
275,escalated,low,561.0,'d' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98036957,1
276,escalated,low,561.0,'req' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98358035,1
277,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
278,escalated,low,561.0,'e' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98137224,1
279,escalated,low,561.0,'e' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98137224,1
280,escalated,low,561.0,'e' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98137224,1
281,escalated,low,561.0,'_' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9821793,1
282,escalated,low,561.0,'fs' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9809449,1
283,escalated,low,561.0,'path' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9814688,1
284,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
285,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
286,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
287,escalated,low,398.0,Unnecessary semicolon.,,ESLint,ESLINT-no-extra-semi,Disallow unnecessary semicolons,escalated,0.9849124,1
288,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
289,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
290,escalated,low,398.0,Unnecessary semicolon.,,ESLint,ESLINT-no-extra-semi,Disallow unnecessary semicolons,escalated,0.9849124,1
291,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
292,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
293,escalated,low,561.0,'backendResponse' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9828992,1
294,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
295,escalated,low,561.0,'_' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9821793,1
296,escalated,low,561.0,'backendResponse' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9828992,1
297,escalated,low,561.0,'fs' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9809449,1
298,escalated,low,561.0,'path' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9814688,1
299,escalated,low,561.0,'req' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98358035,1
300,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
301,escalated,low,398.0,Return values from promise executor functions cannot be read.,,ESLint,ESLINT-no-promise-executor-return,Disallow returning values from Promise executor functions,escalated,0.97949743,1
302,escalated,low,665.0,Undefined variable 'reload',,Pylint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.7458157,1
303,escalated,low,665.0,Undefined variable 'whatsapp',,Pylint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.7602085,1
304,escalated,low,388.0,No exception type(s) specified,,Pylint,rule-e3f0972459f483bc18a68eed953b03a6c7e7fb7e495bc2047dd97eaba40f966b,Error Handling,escalated,0.86067903,1
305,escalated,low,561.0,'e' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98137224,1
306,escalated,low,561.0,'AESEncrypt' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98162866,1
307,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
308,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
309,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
310,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
311,escalated,low,561.0,'obj' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9838929,1
312,escalated,low,561.0,'sleep' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.98172224,1
313,escalated,low,561.0,'reject' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9795555,1
314,escalated,low,561.0,'responseTimeout' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9801235,1
315,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
316,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
317,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
318,escalated,low,561.0,'node' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.979767,1
319,escalated,low,398.0,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98845047,1
320,escalated,low,561.0,'jsonTree' is assigned a value but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9840019,1
321,escalated,low,561.0,'i' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9830651,1
322,escalated,low,561.0,'i' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9830651,1
323,escalated,low,561.0,'i' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9830651,1
324,escalated,low,561.0,'i' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9830651,1
325,escalated,low,704.0,Redundant Boolean call.,,ESLint,ESLINT-no-extra-boolean-cast,Disallow unnecessary boolean casts,escalated,0.98183143,1
326,escalated,low,561.0,'i' is defined but never used.,,ESLint,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9830651,1
327,escalated,low,398.0,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98845047,1
328,escalated,low,561.0,,,,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9724763,1
329,escalated,low,398.0,'a' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.99030405,1
330,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
331,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
332,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
333,escalated,low,398.0,'a' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.99030405,1
334,escalated,low,398.0,Empty block statement.,,ESLint,ESLINT-no-empty,Disallow empty block statements,escalated,0.97938645,1
335,escalated,low,398.0,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98845047,1
336,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
337,escalated,low,561.0,,,,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9724763,1
338,escalated,low,561.0,,,,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9724763,1
339,escalated,low,561.0,,,,rule-99e6d22e1a4011529c550091dd6e6cfd13dd4ca63e90fe1c680512e31cff8261,Dead Code,escalated,0.9724763,1
340,escalated,low,398.0,'h' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98946404,1
341,escalated,low,398.0,'b' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.9891944,1
342,escalated,low,398.0,'h' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98946404,1
343,escalated,low,398.0,'d' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.99250036,1
344,escalated,low,489.0,,,,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.9857373,1
345,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
346,escalated,low,398.0,,,,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.98874617,1
347,escalated,low,398.0,,,,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98005766,1
348,escalated,low,398.0,'b' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.9891944,1
349,escalated,low,398.0,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98845047,1
350,escalated,low,398.0,,,,ESLINT-no-useless-escape,Disallow unnecessary escape usage,escalated,0.96709096,1
351,escalated,low,398.0,'c' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.9919059,1
352,escalated,low,398.0,'b' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.9891944,1
353,escalated,low,398.0,'a' is already defined.,,ESLint,ESLINT-no-redeclare,Disallow variable redeclaration,escalated,0.99030405,1
354,escalated,low,489.0,Unexpected console statement.,,ESLint,rule-626705a39e944c3161f73c8666fcb4e2bb8e294b6c4ecbb1f00aa4ab76f8db3d,Leftover Debug Code,escalated,0.99293244,1
355,escalated,low,398.0,Do not access Object.prototype method 'hasOwnProperty' from target object.,,ESLint,ESLINT-no-prototype-builtins,Disallow use of objectprototypes builtins directly,escalated,0.98845047,1
356,false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,PYLINT-R1710,Inconsistent return statements,False,0.15697604,0
357,escalated,low,665.0,Undefined variable 'strng',,Pylint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.74700445,1
358,false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,PYLINT-R1710,Inconsistent return statements,False,0.15697604,0
359,false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,PYLINT-R1710,Inconsistent return statements,False,0.15697604,0
360,false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,PYLINT-R1710,Inconsistent return statements,False,0.15697604,0
361,false-positive,low,227.0,No value for argument 'littleEndian' in method call,,Pylint,rule-dc56fd6c6aaaf7aef3e91a691e1f8bd8f7311763a2d3286fce16c6c5cf52b5e2,API Abuse,False,0.217789,0
362,escalated,low,665.0,Undefined variable 'e',,Pylint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.74517363,1
363,false-positive,low,,Too many boolean expressions in if statement (6/5),,Pylint,PYLINT-R0916,Too many boolean expressions,escalated,0.5099367,1
364,escalated,low,,Value 'str' is unsubscriptable,,Pylint,PYLINT-E1136,Unscriptable Object,escalated,0.8757451,1
365,false-positive,low,227.0,No value for argument 'littleEndian' in method call,,Pylint,rule-dc56fd6c6aaaf7aef3e91a691e1f8bd8f7311763a2d3286fce16c6c5cf52b5e2,API Abuse,False,0.217789,0
366,false-positive,low,227.0,No value for argument 'littleEndian' in method call,,Pylint,rule-dc56fd6c6aaaf7aef3e91a691e1f8bd8f7311763a2d3286fce16c6c5cf52b5e2,API Abuse,False,0.217789,0
367,escalated,medium,398.0,"""lodash"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9613776,1
368,escalated,medium,398.0,"""ws"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9592395,1
369,escalated,medium,398.0,"""acorn-walk"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9609641,1
370,escalated,medium,398.0,"""acorn"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.959304,1
371,escalated,medium,398.0,"""request-promise-native"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9618415,1
372,escalated,medium,398.0,"""lodash"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9613776,1
373,escalated,medium,398.0,"""express"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.95398766,1
374,escalated,medium,398.0,"""ws"" is not found.",node,ESLint,ESLINT-NODE-no-missing-require,Disallow 'require()' expressions which import non-existence modules,escalated,0.9592395,1
375,escalated,medium,665.0,,,,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.6370131,1
376,escalated,medium,665.0,,,,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.6370131,1
377,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
378,escalated,medium,665.0,,,,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.6370131,1
379,escalated,medium,665.0,'axlsign' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.81087655,1
380,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
381,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
382,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
383,escalated,medium,665.0,'$' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,False,0.07220864,0
384,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
385,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
386,escalated,medium,665.0,,,,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.6370131,1
387,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
388,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
389,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
390,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
391,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
392,escalated,medium,665.0,,,,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.6370131,1
393,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
394,escalated,medium,665.0,'QRCode' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.81622136,1
395,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
396,escalated,medium,665.0,'axlsign' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.81087655,1
397,escalated,medium,665.0,'sjcl' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,escalated,0.95250314,1
